"Country","Diptheria","BMI","Alcohol","Adult.Mortality","HepB","HIV","infant_mortality","HALE_Birth","percent.expenditure","Polio","thinness.5.19.years","total.expenditure"
"South Africa",85,26.9,7.21,316,85,10.2,29.42,54.1,14.92,85,5.8,4.75
"Spain",97,26.6,7.85,58,96,0,2.78,71.6,14.16,97,0.6,6.39
"Sri Lanka",99,23,2.45,131,99,0,4.82333333333333,66.6,9.03,99,15.2,1.61
"Suriname",71,26.4,5.39,184,71,0,18.63,63.2,6.9,76,3.5,2.01
"Sweden",97,26.3,7.2,55,42,0,2.37,71.4,18.15,97,1.4,9.2
"Switzerland",96,25.6,9.62,50,80.3333333333333,0,3.77,71.7,10.35,96,0.4,3.41
"Syrian Arab Republic",43,27.6,0.19,368,47,0,27.66,56.3,16.4633333333333,52,6.2,6.66666666666667
"Tajikistan",97,25.3,0.83,127,97,0,33.41,61.4,7.28,94,3.7,2.08
"Thailand",99,24.4,6.91,151,99,0.2,4.82333333333333,68,14.45,99,7.9,2.79
"Timor-Leste",77,20.9,0.41,155,77,0.2,4.82333333333333,60.3,3.72,76,11.1,4.13
"Togo",84,23.2,1.25,274,84,5.8,52.25,54.2,5.07,82,6.7,1.03
"Tonga",98,31.8,0.28,136,98,0,10.78,63.9,9.18,98,0.1,2.89
"Trinidad and Tobago",92,27.6,5.9,174,92,0.7,17.79,65.2,7.47,94,5.9,2.62
"Tunisia",94,26.2,1.48,94,94,0,14.87,66.7,13.54,94,6.4,3.96
"Turkey",96,27.7,1.39,107,96,0,11.89,67.7,10.15,96,4.8,3.36
"Turkmenistan",98,25.9,3.24,199,97,0.6,36.27,61.7,8.71,98,3.2,1.48
"Uganda",85,22.3,7.25,304,85,4.6,40.62,56.3,7.01,78,5.7,0.95
"Ukraine",23,26.8,7.58,212,22,0.4,8.42,63.8,7.71,45,2.4,3.45
"United Arab Emirates",99,28.2,2,76,99,0,6.66,65.4,7.78,99,5.1,2.58
"United Kingdom of Great Britain and Northern Ireland",95,27.4,9.45,68,80.3333333333333,0,3.89,69.7,18.48,95,0.7,7.96
"United Republic of Tanzania",97,22.9,7.43,282,97,5.9,41.87,56.7,6.94,97,6.8,1.2
"United States of America",95,29,8.78,106,92,0,5.88,66.6,21.48,93,0.7,8.24
"Uruguay",95,27.4,6.15,114,95,0,8.02,67.5,18.82,95,1.5,5.5
"Uzbekistan",99,26.2,2.5,139,99,0,18.57,63.5,9.3,99,3,2.44
"Vanuatu",86,25.9,1.39,136,86,0,24.06,57.4,2.06,80,1.5,0.59
"Venezuela (Bolivarian Republic of)",78,26.6,6.6,159,78,0.2,15.44,65.1,4.84,79,1.5,1.99
"Viet Nam",95,21.6,2.78,128,95,0.2,17.57,64.9,8.51,96,14.5,1.94
"Yemen",73,23.2,0.03,226,73,0.2,45.36,58.4,2.82,67,13.6,0.78
"Zambia",86,22.1,4.22,299,86,9.7,46.03,52.7,7.67,78,6.3,1.89
"Zimbabwe",91,23.3,4.22,358,91,6.4,42.91,51.2,13.36,92,6.1,2.73
